loss_avg;epoch;iteration;global_iteration
0.09383132308721542;0;100;100
0.01105238776654005;0;200;200
0.016408376395702362;0;300;300
0.06567144393920898;0;400;400
0.044227808713912964;0;500;500
0.016476349905133247;0;600;600
0.050376057624816895;0;700;700
0.027428768575191498;0;800;800
0.009533514268696308;0;900;900
0.016116417944431305;0;1000;1000
0.023456206545233727;0;1100;1100
0.011685438454151154;0;1200;1200
0.004453971050679684;0;1300;1300
0.019285690039396286;0;1400;1400
0.01193130575120449;0;1500;1500
0.007814902812242508;0;1600;1600
0.0033940980210900307;0;1700;1700
0.015613113529980183;0;1800;1800
0.05169083550572395;0;1900;1900
0.02553658001124859;1;78;2000
0.0018563737394288182;1;178;2100
0.01062692329287529;1;278;2200
0.010903171263635159;1;378;2300
0.004666113294661045;1;478;2400
0.02149558998644352;1;578;2500
0.0016014433931559324;1;678;2600
0.017137479037046432;1;778;2700
0.005031844135373831;1;878;2800
0.011783218942582607;1;978;2900
0.002184371231123805;1;1078;3000
0.005451904609799385;1;1178;3100
0.0012539629824459553;1;1278;3200
0.003782080952078104;1;1378;3300
0.018952632322907448;1;1478;3400
0.0342414528131485;1;1578;3500
0.01854264922440052;1;1678;3600
0.026223670691251755;1;1778;3700
0.010361786931753159;1;1878;3800
0.0739896297454834;2;56;3900
0.0028061720076948404;2;156;4000
0.01316010020673275;2;256;4100
0.01669171452522278;2;356;4200
0.00289739016443491;2;456;4300
0.011365427635610104;2;556;4400
0.0009817228419706225;2;656;4500
0.001834666240029037;2;756;4600
0.0007101392257027328;2;856;4700
0.002443560864776373;2;956;4800
0.009305134415626526;2;1056;4900
0.035601649433374405;2;1156;5000
0.007938784547150135;2;1256;5100
0.025241931900382042;2;1356;5200
0.013590251095592976;2;1456;5300
0.0012582361232489347;2;1556;5400
0.0040593938902020454;2;1656;5500
0.001392696751281619;2;1756;5600
0.012293431907892227;2;1856;5700
0.0016520698554813862;3;34;5800
0.026948900893330574;3;134;5900
0.0011543038999661803;3;234;6000
0.001067131059244275;3;334;6100
0.04768633097410202;3;434;6200
0.0013779269065707922;3;534;6300
0.0007832220289856195;3;634;6400
0.001347244717180729;3;734;6500
0.013805542141199112;3;834;6600
0.009595666080713272;3;934;6700
0.0006517856381833553;3;1034;6800
0.00031409121584147215;3;1134;6900
0.0002090154157485813;3;1234;7000
0.0003382748400326818;3;1334;7100
0.005923487711697817;3;1434;7200
0.0003287786094006151;3;1534;7300
0.014675794169306755;3;1634;7400
0.002065676264464855;3;1734;7500
0.005079168360680342;3;1834;7600
0.0005896878428757191;4;12;7700
0.0007311871740967035;4;112;7800
0.00276568834669888;4;212;7900
0.002177613554522395;4;312;8000
0.0012065218761563301;4;412;8100
0.0030003280844539404;4;512;8200
0.0004763855249620974;4;612;8300
0.007676489185541868;4;712;8400
0.000714251073077321;4;812;8500
0.0008177774725481868;4;912;8600
0.0032037668861448765;4;1012;8700
0.0015733606414869428;4;1112;8800
0.001682569389231503;4;1212;8900
0.0002956126700155437;4;1312;9000
0.000501565053127706;4;1412;9100
0.0011095645604655147;4;1512;9200
0.00042016757652163506;4;1612;9300
0.0015706660924479365;4;1712;9400
0.002505518728867173;4;1812;9500
0.0014150494243949652;4;1912;9600
