loss;epoch;iteration;global_iteration
0.18766264617443085;0;100;100
0.0221047755330801;0;200;200
0.032816752791404724;0;300;300
0.13134288787841797;0;400;400
0.08845561742782593;0;500;500
0.032952699810266495;0;600;600
0.10075211524963379;0;700;700
0.054857537150382996;0;800;800
0.019067028537392616;0;900;900
0.03223283588886261;0;1000;1000
0.04691241309046745;0;1100;1100
0.023370876908302307;0;1200;1200
0.008907942101359367;0;1300;1300
0.03857138007879257;0;1400;1400
0.02386261150240898;0;1500;1500
0.015629805624485016;0;1600;1600
0.006788196042180061;0;1700;1700
0.031226227059960365;0;1800;1800
0.1033816710114479;0;1900;1900
0.05107316002249718;1;78;2000
0.0037127474788576365;1;178;2100
0.02125384658575058;1;278;2200
0.021806342527270317;1;378;2300
0.00933222658932209;1;478;2400
0.04299117997288704;1;578;2500
0.003202886786311865;1;678;2600
0.034274958074092865;1;778;2700
0.010063688270747662;1;878;2800
0.023566437885165215;1;978;2900
0.00436874246224761;1;1078;3000
0.01090380921959877;1;1178;3100
0.0025079259648919106;1;1278;3200
0.007564161904156208;1;1378;3300
0.037905264645814896;1;1478;3400
0.068482905626297;1;1578;3500
0.03708529844880104;1;1678;3600
0.05244734138250351;1;1778;3700
0.020723573863506317;1;1878;3800
0.1479792594909668;2;56;3900
0.005612344015389681;2;156;4000
0.0263202004134655;2;256;4100
0.03338342905044556;2;356;4200
0.00579478032886982;2;456;4300
0.022730855271220207;2;556;4400
0.001963445683941245;2;656;4500
0.003669332480058074;2;756;4600
0.0014202784514054656;2;856;4700
0.004887121729552746;2;956;4800
0.018610268831253052;2;1056;4900
0.07120329886674881;2;1156;5000
0.01587756909430027;2;1256;5100
0.050483863800764084;2;1356;5200
0.02718050219118595;2;1456;5300
0.0025164722464978695;2;1556;5400
0.008118787780404091;2;1656;5500
0.002785393502563238;2;1756;5600
0.024586863815784454;2;1856;5700
0.0033041397109627724;3;34;5800
0.05389780178666115;3;134;5900
0.0023086077999323606;3;234;6000
0.00213426211848855;3;334;6100
0.09537266194820404;3;434;6200
0.0027558538131415844;3;534;6300
0.001566444057971239;3;634;6400
0.002694489434361458;3;734;6500
0.027611084282398224;3;834;6600
0.019191332161426544;3;934;6700
0.0013035712763667107;3;1034;6800
0.0006281824316829443;3;1134;6900
0.0004180308314971626;3;1234;7000
0.0006765496800653636;3;1334;7100
0.011846975423395634;3;1434;7200
0.0006575572188012302;3;1534;7300
0.02935158833861351;3;1634;7400
0.00413135252892971;3;1734;7500
0.010158336721360683;3;1834;7600
0.0011793756857514381;4;12;7700
0.001462374348193407;4;112;7800
0.00553137669339776;4;212;7900
0.00435522710904479;4;312;8000
0.0024130437523126602;4;412;8100
0.006000656168907881;4;512;8200
0.0009527710499241948;4;612;8300
0.015352978371083736;4;712;8400
0.001428502146154642;4;812;8500
0.0016355549450963736;4;912;8600
0.006407533772289753;4;1012;8700
0.0031467212829738855;4;1112;8800
0.003365138778463006;4;1212;8900
0.0005912253400310874;4;1312;9000
0.001003130106255412;4;1412;9100
0.0022191291209310293;4;1512;9200
0.0008403351530432701;4;1612;9300
0.003141332184895873;4;1712;9400
0.005011037457734346;4;1812;9500
0.0028300988487899303;4;1912;9600
